Name,Team,Salary,WAR
StephenStrasburg,WAS,"38,333,334",8.56
ZackGreinke,ARI,"34,500,000",7.22
ClaytonKershaw,LAD,"31,000,000",4.82
MiguelCabrera,DET,"30,000,000",0.3
AlbertPujols,LAA,"28,000,000",0.2
NolanArenado,COL,"26,000,000",7.1
JoeyVotto,CIN,"25,000,000",1.6
JakeArrieta,PHI,"25,000,000",0.88
J.D.Martinez,BOS,"23,750,000",4.2
JoshDonaldson,ATL,"23,000,000",5.1
BusterPosey,SF,"22,177,778",2.7
FreddieFreeman,ATL,"21,359,375",4.0
RickPorcello,BOS,"21,125,000",0.2
Shin-SooChoo,TEX,"21,000,000",2.0
CharlieBlackmon,COL,"21,000,000",3.0
YadierMolina,STL,"20,000,000",1.7
JasonHeyward,CHC,"20,000,000",0.8
MookieBetts,BOS,"20,000,000",6.9
AlexGordon,KC,"20,000,000",1.2
ColeHamels,CHC,"20,000,000",1.49
KyleSeager,SEA,"19,500,000",2.2
RyanBraun,MIL,"19,000,000",1.4
JustinTurner,LAD,"19,000,000",4.5
AnthonyRendon,WAS,"18,800,000",6.3
JustinUpton,LAA,"18,000,000",0.1
RyanZimmerman,WAS,"18,000,000",0.2
Hyun-jinRyu,LAD,"17,900,000",5.64
MikeTrout,LAA,"17,666,666",8.9
BrandonBelt,SF,"17,200,000",1.9
NathanEovaldi,BOS,"17,000,000",0.1
DexterFowler,STL,"16,500,000",1.2
KhrisDavis,OAK,"16,500,000",0.1
MichaelBrantley,HOU,"16,000,000",2.5
YasmaniGrandal,MIL,"16,000,000",6.1
JoseAbreu,CWS,"16,000,000",0.2
ElvisAndrus,TEX,"15,250,000",2.4
DannyDuffy,KC,"15,250,000",0.81
BrandonCrawford,SF,"15,200,000",0.9
LorenzoCain,MIL,"15,000,000",1.2
JeanSegura,PHI,"14,850,000",1.7
MattCarpenter,STL,"14,750,000",0.7
JasonKipnis,CLE,"14,666,666",1.3
PaulGoldschmidt,STL,"14,500,000",1.9
NelsonCruz,MIN,"14,000,000",4.1
JayBruce,SEA,"14,000,000",1.7
DeeGordon,SEA,"13,300,000",0.5
AndreltonSimmons,LAA,"13,000,000",2.0
JoshReddick,HOU,"13,000,000",1.3
DallasKeuchel,ATL,"13,000,000",2.07
PatrickCorbin,WAS,"12,916,666",5.98
KrisBryant,CHC,"12,900,000",2.7
TylerChatwood,CHC,"12,500,000",1.43
BenZobrist,CHC,"12,500,000",0.2
MarcellOzuna,STL,"12,250,000",1.5
GeorgeSpringer,HOU,"12,000,000",5.4
DJLeMahieu,NYY,"12,000,000",4.8
MarwinGonzalez,MIN,"12,000,000",1.1
XanderBogaerts,BOS,"12,000,000",4.3
MannyMachado,SD,"12,000,000",1.5
StarlinCastro,MIA,"11,857,142",0.6
DidiGregorius,NYY,"11,750,000",0.8
CarlosMartinez,STL,"11,700,000",1.18
BryceHarper,PHI,"11,538,462",3.7
FranciscoCervell,PIT,"11,500,000",0.4
AnthonyRizzo,CHC,"11,285,714",3.7
JulioTeheran,ATL,"11,166,666",2.65
FranciscoLindor,CLE,"10,550,000",3.8
KoleCalhoun,LAA,"10,500,000",3.1
YuliGurriel,HOU,"10,400,000",3.4
StarlingMarte,PIT,"10,333,334",3.4
AndrewMcCutchen,PHI,"10,000,000",0.9
DanielMurphy,COL,"10,000,000",1.2
TannerRoark,CIN,"10,000,000",0.7
MikeMinor,TEX,"9,833,333",4.02
ChristianYelich,MIL,"9,750,000",6.5
YasielPuig,CIN,"9,700,000",1.6
JoseAltuve,HOU,"9,500,000",3.0
JacobdeGrom,NYM,"9,500,000",7.96
ToddFrazier,NYM,"9,000,000",2.7
BrianDozier,WAS,"9,000,000",1.0
MilesMikolas,STL,"9,000,000",3.65
JackieBradley,BOS,"8,550,000",1.3
CoreyDickerson,PIT,"8,500,000",0.5
AdamEaton,WAS,"8,400,000",2.5
WilsonRamos,NYM,"8,250,000",1.6
KevinKiermaier,TB,"8,166,667",1.0
RandalGrichuk,TOR,"8,000,000",0.1
JustinSmoak,TOR,"8,000,000",0.7
JasonCastro,MIN,"8,000,000",1.9
CesarHernandez,PHI,"7,750,000",0.8
SonnyGray,CIN,"7,500,000",5.42
BrettGardner,NYY,"7,500,000",2.6
JonathanSchoop,MIN,"7,500,000",0.3
KyleHendricks,CHC,"7,405,000",3.72
MarcusStroman,TOR,"7,400,000",1.51
MarcusStroman,TOR,"7,400,000",3.05
StephenPiscotty,OAK,"7,333,333",0.4
EugenioSuarez,CIN,"7,285,714",4.4
